Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date
MT119614,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2014-04-04
MT119615,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2014-04-05
MT119616,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2014-04-05
MT119617,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2017-01-31
MT119618,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2017-02-01
MT119619,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2017-02-01
MT119620,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sonkonia,Guinea,Mastomys natalensis,blood,2013-11-13
MT119621,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sonkonia,Guinea,Mastomys natalensis,blood,2014-04-07
MT119622,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sonkonia,Guinea,Mastomys natalensis,blood,2014-04-09
MT119623,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sonkonia,Guinea,Mastomys natalensis,blood,2015-11-19
MT119624,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sonkonia,Guinea,Mastomys natalensis,blood,2015-11-19
MT119625,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sonkonia,Guinea,Mastomys natalensis,blood,2015-11-20
MT119626,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sonkonia,Guinea,Mastomys natalensis,blood,2015-11-20
MT119627,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sonkonia,Guinea,Mastomys natalensis,blood,2015-11-20
MT119628,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sonkonia,Guinea,Mastomys natalensis,blood,2016-11-25
MT119629,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sonkonia,Guinea,Mastomys natalensis,blood,2016-11-25
MT119630,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sonkonia,Guinea,Mastomys natalensis,blood,2016-11-25
MT119631,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Sonkonia,Guinea,Mastomys natalensis,blood,2016-11-26
MT119632,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Yarawalia,Guinea,Mastomys natalensis,blood,2013-11-20
MT119633,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Yarawalia,Guinea,Mastomys natalensis,blood,2013-11-21
MT119634,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Yarawalia,Guinea,Mastomys natalensis,blood,2014-04-13
MT119635,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Yarawalia,Guinea,Mastomys natalensis,blood,2014-04-15
MT119636,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Yarawalia,Guinea,Mastomys natalensis,blood,2015-11-16
MT119637,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Yarawalia,Guinea,Mastomys natalensis,blood,2015-11-17
MT119638,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Yarawalia,Guinea,Mastomys natalensis,blood,2016-11-20
MT119639,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Yarawalia,Guinea,Mastomys natalensis,blood,2016-11-20
MT119640,Mammarenavirus lassaense,"Marien,J., Lo Iacono,G., Rieger,T., Magassouba,N., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-06-10,,Mammarenavirus lassaense,partial,Guinea: Yarawalia,Guinea,Mastomys natalensis,blood,2016-11-22
MH028396,Mammarenavirus lassaense,"Yadouleton,A., Achaz,A., Kourouma,F., Saizounou,R., Baptiste,J.-P., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-04-29,,Mammarenavirus lassaense,partial,Benin: Odo-akaba,Benin,Mus baoulei,blood,2017-10-13
MH028397,Mammarenavirus lassaense,"Yadouleton,A., Achaz,A., Kourouma,F., Saizounou,R., Baptiste,J.-P., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-04-29,,Mammarenavirus lassaense,partial,Benin: Worogui,Benin,Mus baoulei,blood,2017-09-24
MH028398,Mammarenavirus lassaense,"Yadouleton,A., Achaz,A., Kourouma,F., Saizounou,R., Baptiste,J.-P., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-04-29,,Mammarenavirus lassaense,partial,Benin: Worogui,Benin,Mus baoulei,blood,2017-09-24
MH028399,Mammarenavirus lassaense,"Yadouleton,A., Achaz,A., Kourouma,F., Saizounou,R., Baptiste,J.-P., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-04-29,,Mammarenavirus lassaense,partial,Benin: Odo-akaba,Benin,Mus baoulei,blood,2017-10-13
MH028400,Mammarenavirus lassaense,"Yadouleton,A., Achaz,A., Kourouma,F., Saizounou,R., Baptiste,J.-P., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-04-29,,Mammarenavirus lassaense,partial,Benin: Worogui,Benin,Mus baoulei,blood,2017-09-24
MH028401,Mammarenavirus lassaense,"Yadouleton,A., Achaz,A., Kourouma,F., Saizounou,R., Baptiste,J.-P., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-04-29,,Mammarenavirus lassaense,partial,Benin: Worogui,Benin,Mus baoulei,blood,2017-09-24
MT001745,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2014-10-17
MT001746,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2014-10-18
MT001747,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2015-04-02
MT001748,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2015-04-03
MT001749,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2015-04-04
MT001750,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2015-07-17
MT001751,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2015-07-18
MT001752,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2015-10-14
MT001753,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2016-01-29
MT001754,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2016-04-11
MT001755,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2016-04-12
MT001756,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2016-04-13
MT001757,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2016-04-13
MT001758,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2014-10-17
MT001759,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2014-10-18
MT001760,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2015-04-02
MT001761,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2015-04-03
MT001762,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2015-04-04
MT001763,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2015-07-17
MT001764,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2015-07-18
MT001765,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2015-10-14
MT001766,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2016-01-29
MT001767,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2016-04-11
MT001768,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2016-04-12
MT001769,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2016-04-13
MT001770,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-25,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2016-04-13
MN123651,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Denguedou,Guinea,Mastomys natalensis,blood,2005-02-16
MN123652,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Denguedou,Guinea,Mastomys natalensis,blood,2005-02-16
MN123653,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Denguedou,Guinea,Mastomys natalensis,blood,2005-02-17
MN123654,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Denguedou,Guinea,Mastomys natalensis,blood,2005-02-17
MN123655,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Denguedou,Guinea,Mastomys natalensis,blood,2005-02-17
MN123656,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Denguedou,Guinea,Mastomys natalensis,blood,2005-02-17
MN123657,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,2013-12-14
MN123658,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,2013-12-16
MN123659,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,2013-11-28
MN123660,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,2013-11-28
MN123661,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,2013-11-28
MN123662,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,2013-11-29
MN123663,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,2013-11-29
MN123664,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Dalafilani,Guinea,Mastomys natalensis,blood,2014-04-19
MN123665,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,2013-11-15
MN123666,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,2013-11-15
MN123667,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,2013-11-15
MN123668,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,2013-11-16
MN123669,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,2013-11-16
MN123670,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,2013-11-17
MN123671,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,2014-03-26
MN123672,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,2014-03-26
MN123673,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,2014-03-27
MN123674,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Damania,Guinea,Mastomys natalensis,blood,2014-03-27
MN123675,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Khoria,Guinea,Mastomys natalensis,blood,2013-11-24
MN123676,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Khoria,Guinea,Mastomys natalensis,blood,2013-11-26
