strain	date	Host	Geo_Location	country	accession
KM821929	2011-12-31 (2011-02-14 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887886	2018-03-16	Homo sapiens	Nigeria	Nigeria	
KM822018	2008-12-31 (2008-02-14 - 2008-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887822	2017-02-14	Homo sapiens	Nigeria	Nigeria	
KM821969	2012-01-01 (2012-01-01 - 2012-11-14)	Homo sapiens	Nigeria	Nigeria	
MH887814	2018-02-12	Homo sapiens	Nigeria	Nigeria	
MH157044	2018-01-02	Homo sapiens	Nigeria	Nigeria	
MH887817	2017-03-07	Homo sapiens	Nigeria	Nigeria	
MH053513	2015-09-14	Homo sapiens	Nigeria	Nigeria	
MH887896	2017-10-17	Homo sapiens	Nigeria	Nigeria	
KM821924	2011-01-01 (2011-01-01 - 2011-11-17)	Homo sapiens	Nigeria	Nigeria	
KM822006	2009-12-31 (2009-02-11 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
MK117973	2018-01-25	Homo sapiens	Nigeria: EDO	Nigeria	
MH053485	2016-02-02	Homo sapiens	Nigeria	Nigeria	
KM821982	2012-12-31 (2012-02-08 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887847	2018-03-03	Homo sapiens	Nigeria	Nigeria	
MK118003	2018-02-12	Homo sapiens	Nigeria: EDO	Nigeria	
MH887869	2018-02-12	Homo sapiens	Nigeria	Nigeria	
MH887863	2018-02-12	Homo sapiens	Nigeria	Nigeria	
MH887810	2018-01-30	Homo sapiens	Nigeria	Nigeria	
MK107955	2016-02-20	Homo sapiens	Nigeria: Kogi	Nigeria	
MK117968	2018-01-17	Homo sapiens	Nigeria: KOGI	Nigeria	
MH887765	2018-01-17	Homo sapiens	Nigeria	Nigeria	
MK118038	2018-02-23	Homo sapiens	Nigeria: KOGI	Nigeria	
MH157041	2018-02-23	Homo sapiens	Nigeria	Nigeria	
KM822027	2010-12-31 (2010-02-09 - 2010-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822072	2009-01-01 (2009-01-01 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887778	2017-05-15	Homo sapiens	Nigeria	Nigeria	
MH887840	2017-08-04	Homo sapiens	Nigeria	Nigeria	
KM821949	2011-06-24 (2011-01-01 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
MH053574	2015-12-27	Homo sapiens	Nigeria	Nigeria	
MH053582	2016-01-18	Homo sapiens	Nigeria	Nigeria	
MH887854	2017-09-14	Homo sapiens	Nigeria	Nigeria	
MH887798	2018-02-25	Homo sapiens	Nigeria	Nigeria	
MH887813	2018-02-20	Homo sapiens	Nigeria	Nigeria	
KM822051	2011-01-01 (2011-01-01 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
GU481074	2008-01-01 (2008-01-01 - 2008-11-24)	Homo sapiens	Nigeria: Edo State	Nigeria	
KM821953	2012-01-01 (2012-01-01 - 2012-11-17)	Homo sapiens	Nigeria	Nigeria	
KM822065	2009-12-31 (2009-02-10 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822057	2010-12-31 (2010-02-10 - 2010-12-31)	Homo sapiens	Nigeria	Nigeria	
MK107936	2016-02-06	Homo sapiens	Nigeria: Ondo	Nigeria	
MH053588	2016-03-16	Homo sapiens	Nigeria	Nigeria	
OR493502	2022-03-08	Capra hircus	Nigeria: Abakaliki	Nigeria	
MH887790	2018-01-11	Homo sapiens	Nigeria	Nigeria	
MH887791	2017-12-17	Homo sapiens	Nigeria	Nigeria	
MK118007	2018-02-13	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887806	2018-02-14	Homo sapiens	Nigeria	Nigeria	
MH887762	2018-03-21	Homo sapiens	Nigeria	Nigeria	
MK117965	2018-01-17	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887868	2018-01-17	Homo sapiens	Nigeria	Nigeria	
KM821951	2012-05-21 (2012-01-01 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887827	2017-01-24	Homo sapiens	Nigeria	Nigeria	
MH053522	2016-04-04	Homo sapiens	Nigeria	Nigeria	
KM821963	2012-12-31 (2012-02-07 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822010	2009-01-01 (2009-01-01 - 2009-11-23)	Homo sapiens	Nigeria	Nigeria	
KM822062	2009-01-01 (2009-01-01 - 2009-11-20)	Homo sapiens	Nigeria	Nigeria	
MH887788	2017-12-17	Homo sapiens	Nigeria	Nigeria	
MH887793	2017-01-09	Homo sapiens	Nigeria	Nigeria	
MH887795	2017-12-29	Homo sapiens	Nigeria	Nigeria	
MH887835	2017-11-26	Homo sapiens	Nigeria	Nigeria	
MH887826	2017-06-17	Homo sapiens	Nigeria	Nigeria	
MH053555	2016-01-10	Homo sapiens	Nigeria	Nigeria	
MK107963	2013-01-16	Homo sapiens	Nigeria: Ondo	Nigeria	
MH157045	2018-02-23	Homo sapiens	Nigeria	Nigeria	
MK107956	2016-02-24	Homo sapiens	Nigeria: Ondo	Nigeria	
MH053561	2016-02-23	Homo sapiens	Nigeria	Nigeria	
MK118002	2018-02-12	Homo sapiens	Nigeria: EDO	Nigeria	
MK117861	2018-02-12	Homo sapiens	Nigeria: EDO	Nigeria	
MH157032	2018-02-12	Homo sapiens	Nigeria	Nigeria	
MH887873	2018-02-10	Homo sapiens	Nigeria	Nigeria	
MH887883	2017-05-16	Homo sapiens	Nigeria	Nigeria	
MK107964	2013-01-30	Homo sapiens	Nigeria: Ondo	Nigeria	
MK118001	2018-02-12	Homo sapiens	Nigeria: EDO	Nigeria	
MK117860	2018-02-12	Homo sapiens	Nigeria: EDO	Nigeria	
MH887807	2018-02-12	Homo sapiens	Nigeria	Nigeria	
KM822105	2009-12-31 (2009-02-08 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
KM821935	2011-05-07 (2011-01-01 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
KM821994	2012-02-23 (2012-01-01 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822037	2011-01-01 (2011-01-01 - 2011-11-06)	Homo sapiens	Nigeria	Nigeria	
KM822067	2009-12-26 (2009-01-01 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822066	2009-12-31 (2009-02-11 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822078	2009-12-31 (2009-02-14 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822109	2009-01-01 (2009-01-01 - 2009-11-14)	Homo sapiens	Nigeria	Nigeria	
KM822101	2009-12-31 (2009-02-09 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
MK117964	2018-01-15	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887875	2018-01-15	Homo sapiens	Nigeria	Nigeria	
MH053557	2016-06-08	Homo sapiens	Nigeria	Nigeria	
MH887824	2018-02-22	Homo sapiens	Nigeria	Nigeria	
MH887876	2018-02-04	Homo sapiens	Nigeria	Nigeria	
MH887782	2018-02-19	Homo sapiens	Nigeria	Nigeria	
MH053506	2016-09-21	Homo sapiens	Nigeria	Nigeria	
MK117955	2018-01-09	Homo sapiens	Nigeria: EDO	Nigeria	
MH887833	2018-01-09	Homo sapiens	Nigeria	Nigeria	
MK118026	2018-02-24	Homo sapiens	Nigeria: EDO	Nigeria	
MH157052	2018-02-24	Homo sapiens	Nigeria	Nigeria	
MH887852	2018-02-13	Homo sapiens	Nigeria	Nigeria	
KM821990	2012-12-31 (2012-02-14 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887870	2018-01-23	Homo sapiens	Nigeria	Nigeria	
MH053498	2015-11-27	Homo sapiens	Nigeria	Nigeria	
MH887850	2018-02-05	Homo sapiens	Nigeria	Nigeria	
MH053531	2016-05-03	Homo sapiens	Nigeria	Nigeria	
MH887884	2017-10-16	Homo sapiens	Nigeria	Nigeria	
MK117969	2018-01-18	Homo sapiens	Nigeria: EDO	Nigeria	
MH887819	2018-01-18	Homo sapiens	Nigeria	Nigeria	
MH887838	2017-06-25	Homo sapiens	Nigeria	Nigeria	
MH887874	2017-03-12	Homo sapiens	Nigeria	Nigeria	
KM821925	2011-12-31 (2011-02-11 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
KM821971	2012-01-01 (2012-01-01 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
OR147793	2018-02-10	Homo sapiens	Nigeria	Nigeria	
MK118029	2018-02-26	Homo sapiens	Nigeria: EDO	Nigeria	
KM822089	2009-01-01 (2009-01-01 - 2009-11-23)	Homo sapiens	Nigeria	Nigeria	
GU481076	2008-12-31 (2008-02-09 - 2008-12-31)	Homo sapiens	Nigeria: Edo State	Nigeria	
KM821984	2012-01-01 (2012-01-01 - 2012-11-20)	Homo sapiens	Nigeria	Nigeria	
MK118024	2018-02-21	Homo sapiens	Nigeria: EDO	Nigeria	
MH887894	2018-02-21	Homo sapiens	Nigeria	Nigeria	
KM822076	2009-12-31 (2009-02-11 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
MK118028	2018-02-25	Homo sapiens	Nigeria: EDO	Nigeria	
MH887861	2018-02-25	Homo sapiens	Nigeria	Nigeria	
MH887853	2018-02-13	Homo sapiens	Nigeria	Nigeria	
MH887756	2018-02-02	Homo sapiens	Nigeria	Nigeria	
MH053573	2015-09-14	Homo sapiens	Nigeria	Nigeria	
MH053497	2016-01-02	Homo sapiens	Nigeria	Nigeria	
KM822059	2009-01-01 (2009-01-01 - 2009-11-08)	Homo sapiens	Nigeria	Nigeria	
KM822029	2010-12-31 (2010-02-16 - 2010-12-31)	Homo sapiens	Nigeria	Nigeria	
KM821920	2011-12-31 (2011-02-18 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822097	2009-01-01 (2009-01-01 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
KM821912	2011-01-01 (2011-01-01 - 2011-11-12)	Homo sapiens	Nigeria	Nigeria	
KM822084	2009-12-31 (2009-03-03 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
